Port,latitude,longitude,geometry,AOI_projected,AOI
Lawi Lawi Oil Terminal ,-1.45,116.76667,POINT (116.76667 -1.45),"POLYGON ((8561444.033764629 7789738.331381847, 8561444.033764629 7745738.331381847, 8517444.033764629 7745738.331381847, 8517444.033764629 7789738.331381847, 8561444.033764629 7789738.331381847))","POLYGON ((116.75892351209414 -1.2850286078559747, 116.93078312518558 -1.4419610320022316, 116.77445831020025 -1.6154028908412885, 116.60251505312493 -1.4575952269030632, 116.75892351209414 -1.2850286078559747))"
Lhokseumawe ,5.25,97.11667,POINT (97.11667 5.25),"POLYGON ((6312498.8864925625 11257825.892044283, 6312498.8864925625 11213825.892044283, 6268498.8864925625 11213825.892044283, 6268498.8864925625 11257825.892044283, 6312498.8864925625 11257825.892044283))","POLYGON ((97.15658027692565 5.391951981550761, 97.25853446820366 5.210049507660128, 97.07657367824484 5.107711026048585, 96.97499157477398 5.290252048753558, 97.15658027692565 5.391951981550761))"
Lingkas ,3.28333,117.6,POINT (117.6 3.28333),"POLYGON ((9360162.187511083 8285877.218875674, 9360162.187511083 8241877.218875674, 9316162.187511083 8241877.218875674, 9316162.187511083 8285877.218875674, 9360162.187511083 8285877.218875674))","POLYGON ((117.59075623894996 3.435733246438938, 117.75181180263914 3.2928329306843604, 117.60928991794923 3.130524490186508, 117.44814204103203 3.2742056151634586, 117.59075623894996 3.435733246438938))"
Luwuk ,-0.95,122.8,POINT (122.8 -0.95),"POLYGON ((9362906.566085437 6964386.706293499, 9362906.566085437 6920386.706293499, 9318906.566085437 6920386.706293499, 9318906.566085437 6964386.706293499, 9362906.566085437 6964386.706293499))","POLYGON ((122.77631138525828 -0.7878970982578015, 122.96118162802063 -0.9258820962716047, 122.82381424897946 -1.112515131032162, 122.63869273946102 -0.9736977813086906, 122.77631138525828 -0.7878970982578015))"
Manado ,1.5,124.83333,POINT (124.83333 1.5),"POLYGON ((9978853.68936757 6918957.297386949, 9978853.68936757 6874957.297386949, 9934853.68936757 6874957.297386949, 9934853.68936757 6918957.297386949, 9978853.68936757 6918957.297386949))","POLYGON ((124.80542513846848 1.6548771975497876, 124.98734654726654 1.528343287392874, 124.86137627113925 1.3447326583175074, 124.67917204487273 1.4720353515058662, 124.80542513846848 1.6548771975497876))"
Mangkasa Oil Terminal ,-2.73333,121.06667,POINT (121.06667 -2.73333),"POLYGON ((8899904.024566235 7020666.004915226, 8899904.024566235 6976666.004915226, 8855904.024566235 6976666.004915226, 8855904.024566235 7020666.004915226, 8899904.024566235 7020666.004915226))","POLYGON ((121.04700061507047 -2.5659850226964966, 121.23324486883048 -2.7132710347084354, 121.086447195892 -2.9011028067249423, 120.89998732179515 -2.7529370979796646, 121.04700061507047 -2.5659850226964966))"
Manokwari Road ,-0.86667,134.08333,POINT (134.08333 -0.86667),"POLYGON ((10495120.290557314 5133883.348440505, 10495120.290557314 5089883.348440505, 10451120.290557314 5089883.348440505, 10451120.290557314 5133883.348440505, 10495120.290557314 5133883.348440505))","POLYGON ((134.0305178343405 -0.7119084021507966, 134.23710759814452 -0.8132013838046609, 134.13640948787307 -1.0217700121180455, 133.92928508264598 -0.9197930192450425, 134.0305178343405 -0.7119084021507966))"
Maumere ,-8.61667,122.21667,POINT (122.21667 -8.61667),"POLYGON ((8202666.873849048 6224450.4370176755, 8202666.873849048 6180450.4370176755, 8158666.873849048 6180450.4370176755, 8158666.873849048 6224450.4370176755, 8202666.873849048 6224450.4370176755))","POLYGON ((122.1915697932577 -8.434722227780002, 122.39963915703345 -8.591345672347835, 122.24192137971507 -8.7990654484476, 122.03354967266752 -8.64145605159718, 122.1915697932577 -8.434722227780002))"
Merak Mas Terminal ,-5.91917,105.99722,POINT (105.99722 -5.91917),"POLYGON ((6567947.53814318 8525616.317285549, 6567947.53814318 8481616.317285549, 6523947.53814318 8481616.317285549, 6523947.53814318 8525616.317285549, 6567947.53814318 8525616.317285549))","POLYGON ((106.01995565030379 -5.743879061345469, 106.17256773857238 -5.941751988619703, 105.97435324169041 -6.09490051792364, 105.82200336730268 -5.896090998634668, 106.01995565030379 -5.743879061345469))"
Merauke ,-8.48333,140.38333,POINT (140.38333 -8.48333),"POLYGON ((9684316.946982339 3557178.6592945554, 9684316.946982339 3513178.6592945554, 9640316.946982339 3513178.6592945554, 9640316.946982339 3557178.6592945554, 9684316.946982339 3557178.6592945554))","POLYGON ((140.30590790241493 -8.316991777918, 140.55033704787095 -8.405852239452864, 140.46117796889035 -8.649953324163661, 140.21589708585014 -8.560433805689105, 140.30590790241493 -8.316991777918))"
